Timestamp,"Passing Period","8 Blocks"
12/6/2023 11:19:39,1,1
12/6/2023 11:19:58,4,3
12/6/2023 11:20:44,1,1
12/6/2023 11:21:03,7,4
12/6/2023 11:22:14,10,1
12/6/2023 11:22:39,1,1
12/6/2023 11:23:04,2,3
12/6/2023 11:23:07,2,7
12/6/2023 11:23:21,1,2
12/6/2023 11:23:30,1,2
12/6/2023 11:23:36,1,2
12/6/2023 11:24:21,1,1
12/6/2023 11:24:21,1,5
12/6/2023 11:26:04,1,8
12/6/2023 11:26:19,3,4
12/6/2023 11:27:22,2,2
12/6/2023 11:27:25,1,2
12/6/2023 11:27:32,1,2
12/6/2023 11:27:39,1,2
12/6/2023 11:27:41,8,4
12/6/2023 11:27:48,1,2
12/6/2023 11:27:56,1,2
12/6/2023 11:28:05,1,2
12/6/2023 11:28:09,1,2
12/6/2023 11:28:15,1,6
12/6/2023 11:28:54,2,1
12/6/2023 11:29:02,5,5
12/6/2023 11:31:29,6,1
12/6/2023 11:31:40,1,5
12/6/2023 11:31:55,1,1
12/6/2023 11:32:00,1,5
12/6/2023 11:32:33,2,5
12/6/2023 11:33:01,1,3
12/6/2023 11:33:08,4,3
12/6/2023 11:33:12,1,1
12/6/2023 11:33:19,5,5
12/6/2023 11:33:21,6,5
12/6/2023 15:17:37,1,1
